Parameter Name,Value,Description,,,,,Oracle 1,Oracle 2,Oracle 3
Total Data Groups,20,,,,Mahout,Consensus,80%,15%,5%
Total Properties,"150,000,000",U.S. Census Bureau estimates 145m in 2023.,,,,Reputation,100%,0%,0%
Total Mahout Supply,"150,000,000",Set equal to number of properties.,,,vMahout,Consensus,33%,33%,33%
Mahout Per Property,1.0,,,,,Reputation,100%,0%,0%
vMahout Per Property,1.0,,,,,,,,
"Mahout Velocity, Annual",4.0x,Based on ETH velocity,,,,,,,
,,,,,,,,,
Ad Slash Rate,1.00%,Percentage of daily ad stake slashed and awarded to data maintainer,,,,,,,
Min Ad Stake,$25.00,"Minimum ad stake per 10,000 properties, USD",,,,,,,
,,,,,,,,,
Definition:,,,,,,,,,
Consensus requires 3-oracle consensus (default),,,,,,,,,
Reputation requires requires staking of reputation (Photo/HOA),,,,,,,,,
